id,imdb_score_binned
1,2
2,2
3,2
4,1
5,3
6,3
7,4
8,2
9,3
10,2
11,1
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,1
21,3
22,2
23,3
24,3
25,2
26,3
27,2
28,1
29,2
30,3
31,3
32,2
33,2
34,2
35,2
36,3
37,2
38,3
39,2
40,2
41,4
42,2
43,2
44,2
45,2
46,3
47,1
48,2
49,2
50,2
51,4
52,2
53,3
54,2
55,3
56,4
57,3
58,2
59,1
60,2
61,2
62,1
63,2
64,2
65,3
66,2
67,1
68,1
69,2
70,2
71,1
72,2
73,4
74,3
75,3
76,4
77,2
78,3
79,2
80,2
81,2
82,2
83,1
84,2
85,2
86,2
87,2
88,2
89,2
90,2
91,2
92,3
93,0
94,2
95,2
96,2
97,3
98,2
99,3
100,2
101,2
102,0
103,3
104,2
105,2
106,3
107,2
108,1
109,3
110,2
111,2
112,2
113,3
114,2
115,2
116,3
117,1
118,2
119,2
120,2
121,2
122,2
123,2
124,3
125,3
126,2
127,3
128,1
129,3
130,3
131,3
132,4
133,2
134,2
135,2
136,2
137,0
138,3
139,2
140,4
141,2
142,3
143,2
144,3
145,2
146,2
147,3
148,3
149,3
150,3
151,2
152,3
153,2
154,1
155,2
156,2
157,2
158,2
159,4
160,2
161,1
162,2
163,3
164,3
165,2
166,2
167,2
168,2
169,2
170,2
171,2
172,3
173,2
174,1
175,2
176,4
177,2
178,3
179,2
180,3
181,2
182,3
183,2
184,3
185,3
186,3
187,3
188,1
189,2
190,2
191,2
192,3
193,4
194,2
195,2
196,2
197,2
198,2
199,2
200,0
201,2
202,2
203,2
204,1
205,2
206,2
207,2
208,2
209,3
210,2
211,3
212,3
213,3
214,2
215,3
216,2
217,3
218,1
219,2
220,1
221,1
222,2
223,2
224,2
225,2
226,2
227,2
228,2
229,2
230,3
231,3
232,2
233,2
234,2
235,3
236,3
237,2
238,2
239,2
240,2
241,3
242,2
243,3
244,2
245,3
246,1
247,2
248,2
249,3
250,3
251,2
252,2
253,4
254,1
255,2
256,3
257,2
258,2
259,1
260,1
261,3
262,3
263,3
264,2
265,3
266,3
267,2
